id,group,assembler,fasta
Sample_ID39-KF_5_TOP,KF_TOP,MEGAHIT,/home/inf-21-2024/nbis/abisko_results/kf_results/kf_top_results/Assembly/MEGAHIT/MEGAHIT-Sample_ID39-KF_5_TOP.contigs.fa.gz
Sample_ID41-KF_7_TOP,KF_TOP,MEGAHIT,/home/inf-21-2024/nbis/abisko_results/kf_results/kf_top_results/Assembly/MEGAHIT/MEGAHIT-Sample_ID41-KF_7_TOP.contigs.fa.gz
Sample_ID43-KF_8_TOP,KF_TOP,MEGAHIT,/home/inf-21-2024/nbis/abisko_results/kf_results/kf_top_results/Assembly/MEGAHIT/MEGAHIT-Sample_ID43-KF_8_TOP.contigs.fa.gz
Sample_ID45-KF_11_TOP,KF_TOP,MEGAHIT,/home/inf-21-2024/nbis/abisko_results/kf_results/kf_top_results/Assembly/MEGAHIT/MEGAHIT-Sample_ID45-KF_11_TOP.contigs.fa.gz
Sample_ID47-KF_16_TOP,KF_TOP,MEGAHIT,/home/inf-21-2024/nbis/abisko_results/kf_results/kf_top_results/Assembly/MEGAHIT/MEGAHIT-Sample_ID47-KF_16_TOP.contigs.fa.gz
Sample_ID49-KF_9_TOP,KF_TOP,MEGAHIT,/home/inf-21-2024/nbis/abisko_results/kf_results/kf_top_results/Assembly/MEGAHIT/MEGAHIT-Sample_ID49-KF_9_TOP.contigs.fa.gz
Sample_ID51-KF_10_TOP,KF_TOP,MEGAHIT,/home/inf-21-2024/nbis/abisko_results/kf_results/kf_top_results/Assembly/MEGAHIT/MEGAHIT-Sample_ID51-KF_10_TOP.contigs.fa.gz
Sample_ID53-KF_12_TOP,KF_TOP,MEGAHIT,/home/inf-21-2024/nbis/abisko_results/kf_results/kf_top_results/Assembly/MEGAHIT/MEGAHIT-Sample_ID53-KF_12_TOP.contigs.fa.gz
Sample_ID55-KF_13_TOP,KF_TOP,MEGAHIT,/home/inf-21-2024/nbis/abisko_results/kf_results/kf_top_results/Assembly/MEGAHIT/MEGAHIT-Sample_ID55-KF_13_TOP.contigs.fa.gz
Sample_ID57-KF_14_TOP,KF_TOP,MEGAHIT,/home/inf-21-2024/nbis/abisko_results/kf_results/kf_top_results/Assembly/MEGAHIT/MEGAHIT-Sample_ID57-KF_14_TOP.contigs.fa.gz
Sample_ID59-KF_15_TOP,KF_TOP,MEGAHIT,/home/inf-21-2024/nbis/abisko_results/kf_results/kf_top_results/Assembly/MEGAHIT/MEGAHIT-Sample_ID59-KF_15_TOP.contigs.fa.gz
Sample_ID61-KF_1_TOP,KF_TOP,MEGAHIT,/home/inf-21-2024/nbis/abisko_results/kf_results/kf_top_results/Assembly/MEGAHIT/MEGAHIT-Sample_ID61-KF_1_TOP.contigs.fa.gz
Sample_ID63-KF_3_TOP,KF_TOP,MEGAHIT,/home/inf-21-2024/nbis/abisko_results/kf_results/kf_top_results/Assembly/MEGAHIT/MEGAHIT-Sample_ID63-KF_3_TOP.contigs.fa.gz
Sample_ID65-KF_4_TOP,KF_TOP,MEGAHIT,/home/inf-21-2024/nbis/abisko_results/kf_results/kf_top_results/Assembly/MEGAHIT/MEGAHIT-Sample_ID65-KF_4_TOP.contigs.fa.gz
Sample_ID67-KF_6_TOP,KF_TOP,MEGAHIT,/home/inf-21-2024/nbis/abisko_results/kf_results/kf_top_results/Assembly/MEGAHIT/MEGAHIT-Sample_ID67-KF_6_TOP.contigs.fa.gz
