id,group,assembler,fasta
Sample_ID12-SF_1_BOTTOM,SF_BOTTOM,MEGAHIT,/home/inf-21-2024/nbis/abisko_results/sf_results/sf_bottom_results/Assembly/MEGAHIT/MEGAHIT-Sample_ID12-SF_1_BOTTOM.contigs.fa.gz
Sample_ID14-SF_3_BOTTOM,SF_BOTTOM,MEGAHIT,/home/inf-21-2024/nbis/abisko_results/sf_results/sf_bottom_results/Assembly/MEGAHIT/MEGAHIT-Sample_ID14-SF_3_BOTTOM.contigs.fa.gz
Sample_ID18-SF_5_BOTTOM,SF_BOTTOM,MEGAHIT,/home/inf-21-2024/nbis/abisko_results/sf_results/sf_bottom_results/Assembly/MEGAHIT/MEGAHIT-Sample_ID18-SF_5_BOTTOM.contigs.fa.gz
Sample_ID20-SF_6_BOTTOM,SF_BOTTOM,MEGAHIT,/home/inf-21-2024/nbis/abisko_results/sf_results/sf_bottom_results/Assembly/MEGAHIT/MEGAHIT-Sample_ID20-SF_6_BOTTOM.contigs.fa.gz
Sample_ID22-SF_8_BOTTOM,SF_BOTTOM,MEGAHIT,/home/inf-21-2024/nbis/abisko_results/sf_results/sf_bottom_results/Assembly/MEGAHIT/MEGAHIT-Sample_ID22-SF_8_BOTTOM.contigs.fa.gz
Sample_ID24-SF_9_BOTTOM,SF_BOTTOM,MEGAHIT,/home/inf-21-2024/nbis/abisko_results/sf_results/sf_bottom_results/Assembly/MEGAHIT/MEGAHIT-Sample_ID24-SF_9_BOTTOM.contigs.fa.gz
Sample_ID26-SF_10_BOTTOM,SF_BOTTOM,MEGAHIT,/home/inf-21-2024/nbis/abisko_results/sf_results/sf_bottom_results/Assembly/MEGAHIT/MEGAHIT-Sample_ID26-SF_10_BOTTOM.contigs.fa.gz
Sample_ID28-SF_11_BOTTOM,SF_BOTTOM,MEGAHIT,/home/inf-21-2024/nbis/abisko_results/sf_results/sf_bottom_results/Assembly/MEGAHIT/MEGAHIT-Sample_ID28-SF_11_BOTTOM.contigs.fa.gz
Sample_ID30-SF_12_BOTTOM,SF_BOTTOM,MEGAHIT,/home/inf-21-2024/nbis/abisko_results/sf_results/sf_bottom_results/Assembly/MEGAHIT/MEGAHIT-Sample_ID30-SF_12_BOTTOM.contigs.fa.gz
Sample_ID32-SF_13_BOTTOM,SF_BOTTOM,MEGAHIT,/home/inf-21-2024/nbis/abisko_results/sf_results/sf_bottom_results/Assembly/MEGAHIT/MEGAHIT-Sample_ID32-SF_13_BOTTOM.contigs.fa.gz
Sample_ID34-SF_14_BOTTOM,SF_BOTTOM,MEGAHIT,/home/inf-21-2024/nbis/abisko_results/sf_results/sf_bottom_results/Assembly/MEGAHIT/MEGAHIT-Sample_ID34-SF_14_BOTTOM.contigs.fa.gz
Sample_ID36-SF_15_BOTTOM,SF_BOTTOM,MEGAHIT,/home/inf-21-2024/nbis/abisko_results/sf_results/sf_bottom_results/Assembly/MEGAHIT/MEGAHIT-Sample_ID36-SF_15_BOTTOM.contigs.fa.gz
Sample_ID38-SF_16_BOTTOM,SF_BOTTOM,MEGAHIT,/home/inf-21-2024/nbis/abisko_results/sf_results/sf_bottom_results/Assembly/MEGAHIT/MEGAHIT-Sample_ID38-SF_16_BOTTOM.contigs.fa.gz
