user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
MEGAHIT-MetaBAT2-Sample_ID58-KF_14_BOTTOM.6.fa																			
MEGAHIT-MetaBAT2-Sample_ID58-KF_14_BOTTOM.2.fa	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__						GCA_003170935.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003170935	87.6	0.381	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI		GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 84.97, 0.202	90.82	11.0	0.97062	
MEGAHIT-MetaBAT2-Sample_ID58-KF_14_BOTTOM.1.fa	d__Bacteria;p__Caldisericota;c__Caldisericia;o__Cryosericales;f__Cryosericaceae;g__Cryosericum;s__Cryosericum hinesii	GCF_003570985.1	95.0	d__Bacteria;p__Caldisericota;c__Caldisericia;o__Cryosericales;f__Cryosericaceae;g__Cryosericum;s__Cryosericum hinesii	97.78	0.88							ani_screen	classification based on ANI only	GCF_003570925.1, s__Cryosericum terrychapinii, 95.0, 90.46, 0.589; GCA_026390285.1, s__Cryosericum sp026390285, 95.0, 86.0, 0.225; GCA_903871855.1, s__Cryosericum sp903871855, 95.0, 86.3, 0.31; GCF_003570935.1, s__Cryosericum odellii, 95.0, 93.57, 0.594; GCA_026390215.1, s__Cryosericum sp026390215, 95.0, 87.09, 0.273; GCA_026390155.1, s__Cryosericum sp026390155, 95.0, 84.74, 0.183; GCA_013824685.1, s__Cryosericum sp013824685, 95.0, 87.94, 0.451; GCF_003570995.1, s__Cryosericum septentrionale, 95.0, 90.55, 0.555; GCA_026390195.1, s__Cryosericum sp026390195, 95.0, 88.12, 0.381				
MEGAHIT-MetaBAT2-Sample_ID58-KF_14_BOTTOM.3.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__											d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree		56.11	11.0	0.9624	
MEGAHIT-MetaBAT2-Sample_ID58-KF_14_BOTTOM.4.fa	d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__CTSoil-043;s__											d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__CTSoil-043;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree		31.14	11.0	0.90904	Genome has more than 12.5% of markers with multiple hits
MEGAHIT-MetaBAT2-Sample_ID58-KF_14_BOTTOM.5.fa	d__Bacteria;p__Actinomycetota;c__Geothermincolia;o__Fen-727;f__Anoxymicrobiaceae;g__;s__											d__Bacteria;p__Actinomycetota;c__Geothermincolia;o__Fen-727;f__Anoxymicrobiaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree		45.86	11.0	0.75013	
MEGAHIT-MetaBAT2-Sample_ID58-KF_14_BOTTOM.7.fa	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__DSTF01;f__JALHUB01;g__JALHUB01;s__											d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__DSTF01;f__JALHUB01;g__JALHUB01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree		63.38	11.0	0.94694	
MEGAHIT-MetaBAT2-Sample_ID58-KF_14_BOTTOM.8.fa	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__Fen-1362;s__						GCA_003170415.1	95.0	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__Fen-1362;s__Fen-1362 sp003170415	90.01	0.495	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__Fen-1362;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_003141275.1, s__Fen-1362 sp003141275, 95.0, 88.47, 0.35; GCA_903857265.1, s__Fen-1362 sp903857265, 95.0, 83.74, 0.198	86.45	11.0	0.99237	
MEGAHIT-MetaBAT2-Sample_ID58-KF_14_BOTTOM.9.fa	d__Bacteria;p__Desulfobacterota_E;c__Deferrimicrobia;o__Deferrimicrobiales;f__Deferrimicrobiaceae;g__Deferrimicrobium;s__Deferrimicrobium sp937863105	GCA_937863105.1	95.0	d__Bacteria;p__Desulfobacterota_E;c__Deferrimicrobia;o__Deferrimicrobiales;f__Deferrimicrobiaceae;g__Deferrimicrobium;s__Deferrimicrobium sp937863105	95.43	0.69							ani_screen	classification based on ANI only	GCA_017881405.1, s__Deferrimicrobium sp017881405, 95.0, 91.88, 0.603; GCA_007280195.1, s__Deferrimicrobium sp007280195, 95.0, 90.15, 0.46; GCA_011391555.1, s__Deferrimicrobium sp011391555, 95.0, 94.0, 0.711; GCA_024653725.1, s__Deferrimicrobium sp024653725, 95.0, 93.68, 0.54; GCA_020056975.1, s__Deferrimicrobium sp020056975, 95.0, 91.79, 0.517; GCA_021802605.1, s__Deferrimicrobium sp002279275, 95.0, 91.43, 0.454; GCA_023617515.1, s__Deferrimicrobium borealis, 95.0, 91.31, 0.476; GCA_019429245.1, s__Deferrimicrobium sp019429245, 95.0, 90.45, 0.434; GCA_001873935.1, s__Deferrimicrobium sp001873935, 95.0, 90.65, 0.472; GCA_021812885.1, s__Deferrimicrobium sp021812885, 95.0, 90.89, 0.362; GCA_001797445.1, s__Deferrimicrobium sp001797445, 95.0, 88.41, 0.367				
MEGAHIT-MetaBAT2-Sample_ID8-KJ_5_BOTTOM.5.fa																			
MEGAHIT-MetaBAT2-Sample_ID8-KJ_5_BOTTOM.12.fa																			
MEGAHIT-MetaBAT2-Sample_ID8-KJ_5_BOTTOM.2.fa																			
MEGAHIT-MetaBAT2-Sample_ID6-KJ_3_BOTTOM.2.fa																			
MEGAHIT-MetaBAT2-Sample_ID4-KJ_2_BOTTOM.1.fa																			
MEGAHIT-MetaBAT2-Sample_ID4-KJ_2_BOTTOM.2.fa																			
MEGAHIT-DASToolUnbinned-Sample_ID9-KJ_7_TOP.fa																			
MEGAHIT-DASToolUnbinned-Sample_ID10-KJ_7_BOTTOM.fa																			
MEGAHIT-MetaBAT2-Sample_ID8-KJ_5_BOTTOM.6.fa																			
MEGAHIT-MetaBAT2-Sample_ID8-KJ_5_BOTTOM.16.fa																			
MEGAHIT-MetaBAT2-Sample_ID7-KJ_5_TOP.1.fa																			
MEGAHIT-DASToolUnbinned-Sample_ID6-KJ_3_BOTTOM.fa																			
MEGAHIT-CONCOCTRefined-Sample_ID6-KJ_3_BOTTOM.19.fa	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Villigracilaceae;g__UBA877;s__											d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Villigracilaceae;g__UBA877;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree		46.42	11.0	0.96387	
MEGAHIT-CONCOCTRefined-Sample_ID6-KJ_3_BOTTOM.2.fa	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__Acidoferrum;s__						GCA_003154775.1	95.0	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__Acidoferrum;s__Acidoferrum sp003154775	89.56	0.501	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__Acidoferrum;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_002478115.1, s__Acidoferrum typicum, 95.0, 89.52, 0.428	93.05	11.0	0.98849	
MEGAHIT-CONCOCTRefined-Sample_ID6-KJ_3_BOTTOM.38.fa	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__						GCA_002780715.1	95.0	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__UBA1163 sp002780715	87.06	0.166	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree		90.15	11.0	0.92276	
